Arquivo, tamanho, tempo
File1.in, 1, 0.000007
File1.in, 1, 0.000004
File1.in, 1, 0.000002
File1.in, 1, 0.000002
File1.in, 1, 0.000003
File2.in, 1024, 0.001042
File2.in, 1024, 0.001016
File2.in, 1024, 0.001030
File2.in, 1024, 0.001041
File2.in, 1024, 0.001033
File3.in, 1048576, 1.072510
File3.in, 1048576, 1.082769
File3.in, 1048576, 1.078322
File3.in, 1048576, 1.076996
File3.in, 1048576, 1.078143
File4.in, 1073741824, 1130.772949
File4.in, 1073741824, 1136.719116
File4.in, 1073741824, 1139.353271
File4.in, 1073741824, 1131.116699
File4.in, 1073741824, 1128.321411
